"Time_of_Day","Process_Name","PID","Operation","Path","Result","Detail"
"1:13:02.5539635 PM","Explorer.EXE","3096","CreateFile","C:\Users\IEUser\AppData\Local\Temp\Procmon64.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:13:04.4735390 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-Store%4Operational.evtx","SUCCESS","Offset: 15,339,520, Length: 6,624"
"1:13:04.4736475 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Client-Licensing-Platform%4Admin.evtx","SUCCESS","Offset: 200,704, Length: 36,352"
"1:13:04.4738096 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-AppXDeployment%4Operational.evtx","SUCCESS","Offset: 987,136, Length: 64,768"
"1:13:04.4739573 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-PushNotification-Platform%4Operational.evtx","SUCCESS","Offset: 659,456, Length: 512"
"1:13:04.4739660 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-PushNotification-Platform%4Operational.evtx","SUCCESS","Offset: 714,784, Length: 2,096"
"1:13:04.7078432 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Application.evtx","SUCCESS","Offset: 790,528, Length: 65,536"
"1:13:04.7079783 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-Time-Service%4Operational.evtx","SUCCESS","Offset: 69,632, Length: 65,536"
"1:13:04.7080791 PM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-GroupPolicy%4Operational.evtx","SUCCESS","Offset: 462,848, Length: 65,536"
"1:13:04.7538718 PM","ctfmon.exe","3120","CreateFile","C:\Windows\System32\en-US\mssp7en-US.lex","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
