"Time_of_Day","Process_Name","PID","Operation","Path","Result","Detail"
"12:39:29.6587046 PM","Explorer.EXE","3096","CreateFile","C:\Users\IEUser\AppData\Local\Temp\Procmon64.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:39:29.6688647 PM","Explorer.EXE","3096","CreateFile","C:\Users\IEUser\AppData\Local\Temp\Procmon64.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:39:30.2122032 PM","svchost.exe","260","TCP Send","MSEDGEWIN10.ttu.edu:56765 -> 52.173.26.181:https","SUCCESS","Length: 72, startime: 950334, endtime: 950334, seqnum: 0, connid: 0"
"12:39:30.3485755 PM","svchost.exe","260","TCP Receive","MSEDGEWIN10.ttu.edu:56765 -> 52.173.26.181:https","SUCCESS","Length: 124, seqnum: 0, connid: 0"
"12:39:30.5951405 PM","svchost.exe","1228","UDP Send","a00:20f::8821:b3d2:8ab7:ffff:55299 -> 8176:12f:::domain","SUCCESS","Length: 52, seqnum: 0, connid: 0"
"12:39:30.6048907 PM","svchost.exe","1228","UDP Receive","MSEDGEWIN10.ttu.edu:55299 -> 8176:12f:::domain","SUCCESS","Length: 158, seqnum: 0, connid: 0"
"12:39:30.6196354 PM","svchost.exe","2408","TCP Connect","MSEDGEWIN10.ttu.edu:56774 -> a104-72-47-128.deploy.static.akamaitechnologies.com:http","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"12:39:30.6200556 PM","svchost.exe","2408","TCP Send","MSEDGEWIN10.ttu.edu:56774 -> a104-72-47-128.deploy.static.akamaitechnologies.com:http","SUCCESS","Length: 213, startime: 950375, endtime: 950375, seqnum: 0, connid: 0"
"12:39:30.6360461 PM","svchost.exe","2408","TCP Receive","MSEDGEWIN10.ttu.edu:56774 -> a104-72-47-128.deploy.static.akamaitechnologies.com:http","SUCCESS","Length: 1288, seqnum: 0, connid: 0"
"12:39:30.6361067 PM","svchost.exe","2408","TCP Receive","MSEDGEWIN10.ttu.edu:56774 -> a104-72-47-128.deploy.static.akamaitechnologies.com:http","SUCCESS","Length: 1288, seqnum: 0, connid: 0"
