"Time_of_Day","Process_Name","PID","Operation","Path","Result","Detail"
"10:57:48.7509613 AM","Explorer.EXE","3096","CreateFile","C:\Users\IEUser\AppData\Local\Temp\Procmon64.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:57:50.7972801 AM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-Store%4Operational.evtx","SUCCESS","Offset: 15,339,520, Length: 512"
"10:57:50.7973099 AM","svchost.exe","760","WriteFile","C:\Windows\System32\winevt\Logs\Microsoft-Windows-Store%4Operational.evtx","SUCCESS","Offset: 15,382,688, Length: 2,976"
"10:57:50.8283437 AM","svchost.exe","1228","UDP Send","a00:20f::8821:b3d2:8ab7:ffff:53424 -> 8176:12f:::domain","SUCCESS","Length: 34, seqnum: 0, connid: 0"
"10:57:50.8385669 AM","svchost.exe","1228","UDP Receive","MSEDGEWIN10.ttu.edu:53424 -> 8176:12f:::domain","SUCCESS","Length: 50, seqnum: 0, connid: 0"
"10:57:51.2657667 AM","Registry","88","WriteFile","C:\Windows\System32\config\SYSTEM.LOG2","SUCCESS","Offset: 131,072, Length: 28,672, I/O Flags: Non-cached, Priority: Normal"
"10:57:52.4906920 AM","svchost.exe","1228","RegCreateKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","ACCESS DENIED","Desired Access: Query Value"
"10:57:52.4907398 AM","svchost.exe","1228","RegCreateKey","HKLM\SOFTWARE","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"10:57:52.4908014 AM","svchost.exe","1228","RegCreateKey","HKLM\SOFTWARE\Policies","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
"10:57:52.4908442 AM","svchost.exe","1228","RegCreateKey","HKLM\SOFTWARE\Policies\Microsoft","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read, Disposition: REG_OPENED_EXISTING_KEY"
